"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.39841,0,-0.91721,2.7201e-05,-5.4409e-07,-0.0051179
0.38116,0,-0.92451,2.804e-05,-5.6087e-07,-0.0051175
0.38116,0,-0.92451,2.804e-05,5.6087e-07,-0.0051175
0.36681,0,-0.9303,2.9078e-05,-5.8164e-07,-0.0051171
0.36837,0,-0.92968,2.9078e-05,5.8164e-07,-0.0051171
0.38047,0,-0.92479,3.0117e-05,-6.0241e-07,-0.0051167
0.37287,0,-0.92788,3.0117e-05,6.0241e-07,-0.0051167
0.42747,0,-0.90403,3.1155e-05,-6.2318e-07,-0.0051162
0.40785,0,-0.91305,3.1155e-05,6.2318e-07,-0.0051162
0.45662,0,-0.88966,3.1924e-05,6.3857e-07,-0.0051159
0.45662,0,-0.88966,3.1924e-05,-6.3857e-07,-0.0051159
0.45287,0,-0.89158,3.2194e-05,-6.4396e-07,-0.0051157
0.45287,0,-0.89158,3.2194e-05,6.4396e-07,-0.0051157
-0.0070247,0,0.99998,2.077e-06,-4.1546e-08,-0.0050381
-0.0059785,0,0.99998,2.077e-06,4.1546e-08,-0.0050381
-0.0038861,0,0.99999,1.0385e-06,-2.0773e-08,-0.0050381
-0.003363,0,0.99999,1.0385e-06,2.0773e-08,-0.0050381
-0.010163,0,0.99995,3.1155e-06,-6.2318e-08,-0.0050381
-0.009117,0,0.99996,3.1155e-06,6.2318e-08,-0.0050381
-0.013002,0,0.99992,4.154e-06,-8.3091e-08,-0.0050381
-0.012106,0,0.99993,4.154e-06,8.3091e-08,-0.0050381
-0.01629,0,0.99987,5.1925e-06,-1.0386e-07,-0.0050381
-0.015094,0,0.99989,5.1925e-06,1.0386e-07,-0.0050381
-0.018979,0,0.99982,6.231e-06,-1.2464e-07,-0.0050381
-0.018232,0,0.99983,6.231e-06,1.2464e-07,-0.0050381
-0.021518,0,0.99977,7.2695e-06,-1.4541e-07,-0.0050381
-0.020622,0,0.99979,7.2695e-06,1.4541e-07,-0.0050381
-0.024206,0,0.99971,8.308e-06,-1.6618e-07,-0.005038
-0.02331,0,0.99973,8.308e-06,1.6618e-07,-0.005038
-0.026297,0,0.99965,9.3465e-06,-1.8696e-07,-0.005038
-0.0257,0,0.99967,9.3465e-06,1.8696e-07,-0.005038
-0.028089,0,0.99961,1.0385e-05,-2.0773e-07,-0.005038
-0.027492,0,0.99962,1.0385e-05,2.0773e-07,-0.005038
-0.029581,0,0.99956,1.1423e-05,-2.285e-07,-0.005038
-0.029133,0,0.99958,1.1423e-05,2.285e-07,-0.005038
-0.030925,0,0.99952,1.2462e-05,-2.4927e-07,-0.0050379
-0.030477,0,0.99954,1.2462e-05,2.4927e-07,-0.0050379
-0.031372,0,0.99951,1.3501e-05,-2.7005e-07,-0.0050379
-0.031372,0,0.99951,1.3501e-05,2.7005e-07,-0.0050379
-0.03166,0,0.9995,1.4539e-05,-2.9082e-07,-0.0050379
-0.031516,0,0.9995,1.4539e-05,2.9082e-07,-0.0050379
-0.031837,0,0.99949,1.5329e-05,3.0663e-07,-0.0050378
-0.031837,0,0.99949,1.5329e-05,-3.0663e-07,-0.0050378
0.06313,0,0.99801,3.0313e-05,-6.0634e-07,-0.0050378
0.066022,0,0.99782,3.1155e-05,6.2318e-07,-0.0050379
0.06313,0,0.99801,3.0313e-05,6.0634e-07,-0.0050378
0.069681,0,0.99757,3.1155e-05,-6.2318e-07,-0.0050379
0.07657,0,0.99706,3.2194e-05,6.4396e-07,-0.005038
0.0798,0,0.99681,3.2194e-05,-6.4396e-07,-0.005038
-0.031173,0,0.99951,1.5577e-05,-3.1159e-07,-0.0050378
-0.031173,0,0.99951,1.5577e-05,3.1159e-07,-0.0050378
-0.029283,0,0.99957,1.6616e-05,-3.3237e-07,-0.0050378
-0.02988,0,0.99955,1.6616e-05,3.3237e-07,-0.0050378
-0.026894,0,0.99964,1.7654e-05,-3.5314e-07,-0.0050378
-0.02779,0,0.99961,1.7654e-05,3.5314e-07,-0.0050378
-0.023609,0,0.99972,1.8693e-05,-3.7391e-07,-0.0050377
-0.024804,0,0.99969,1.8693e-05,3.7391e-07,-0.0050377
-0.020024,0,0.9998,1.9732e-05,-3.9468e-07,-0.0050377
-0.021219,0,0.99977,1.9732e-05,3.9468e-07,-0.0050377
-0.015841,0,0.99987,2.077e-05,-4.1546e-07,-0.0050377
-0.017335,0,0.99985,2.077e-05,4.1546e-07,-0.0050377
-0.01106,0,0.99994,2.1809e-05,-4.3623e-07,-0.0050377
-0.012704,0,0.99992,2.1809e-05,4.3623e-07,-0.0050377
-0.0052312,0,0.99999,2.2847e-05,-4.57e-07,-0.0050377
-0.0073236,0,0.99997,2.2847e-05,4.57e-07,-0.0050377
0.0010463,0,1,2.3885e-05,-4.7778e-07,-0.0050377
-0.0010463,0,1,2.3885e-05,4.7778e-07,-0.0050377
0.0079214,0,0.99997,2.4924e-05,-4.9855e-07,-0.0050377
0.0055301,0,0.99998,2.4924e-05,4.9855e-07,-0.0050377
0.015989,0,0.99987,2.5962e-05,-5.1932e-07,-0.0050377
0.013151,0,0.99991,2.5962e-05,5.1932e-07,-0.0050377
0.024803,0,0.99969,2.7001e-05,-5.4009e-07,-0.0050377
0.021815,0,0.99976,2.7001e-05,5.4009e-07,-0.0050377
0.034953,0,0.99939,2.804e-05,-5.6087e-07,-0.0050377
0.031372,0,0.99951,2.804e-05,5.6087e-07,-0.0050377
0.046283,0,0.99893,2.9078e-05,-5.8164e-07,-0.0050378
0.042409,0,0.9991,2.9078e-05,5.8164e-07,-0.0050378
0.057029,0,0.99837,3.0117e-05,-6.0241e-07,-0.0050378
0.057029,0,0.99837,3.0117e-05,6.0241e-07,-0.0050378
0.031669,0,-0.9995,2.077e-06,-4.1546e-08,-0.0048173
